Carimbo de data/hora,Qual palavra melhor te descreve?,Qual animal você se identifica?,Emprego dos seus sonhos?,Que tipo de amigo você é?,Uma diva pop que você se identifica:,Qual é o seu signo?
28/01/2020 11:22:06,Racional,Pombo,Desenhista,Conselheiro,Britney Spears,Sagitário
28/01/2020 11:33:08,Racional,Coruja,Desenhista,Tímido,Ariana Grande,Gêmeos
28/01/2020 11:37:16,Sociável,Coruja,Estilista,Leal,Rihanna,Câncer
28/01/2020 11:37:52,Paciente,Lobo,Piloto,Compreensível,Billie Eilish,Áries
28/01/2020 11:43:26,Reservado,Tartaruga,Desenhista,Responsável,Beyoncé,Virgem
28/01/2020 11:44:19,Racional,Tigre,Escritor,Conselheiro,Rihanna,Escorpião
28/01/2020 11:44:56,Confiável,Coruja,Piloto,Sociável,Billie Eilish,Libra
28/01/2020 11:45:55,Racional,Tigre,Designer,Tímido,Rihanna,Touro
28/01/2020 11:46:35,Sociável,Tartaruga,Escritor,Conselheiro,Rihanna,Câncer
28/01/2020 11:47:04,Reservado,Coruja,Piloto,Tímido,Taylor Swift,Câncer
28/01/2020 11:49:50,Carinhoso,Lobo,Designer,Compreensível,Taylor Swift,Gêmeos
28/01/2020 11:49:54,Sociável,Tigre,Personal Trainer,Carinhoso,Anitta,Câncer
28/01/2020 11:50:42,Racional,Lobo,Ator/Atriz,Leal,Ariana Grande,Leão
28/01/2020 12:01:22,Racional,Coruja,Diretor de cinema,Compreensível,Britney Spears,Capricórnio
28/01/2020 12:25:02,Confiável,Coruja,Escritor,Responsável,Beyoncé,Libra
28/01/2020 12:43:15,Racional,Cavalo,Piloto,Leal,Taylor Swift,Aquário
28/01/2020 12:49:25,Carinhoso,Ovelha,Ator/Atriz,Compreensível,Taylor Swift,Gêmeos
28/01/2020 12:49:30,Racional,Coruja,Piloto,Conselheiro,Taylor Swift,Gêmeos
28/01/2020 12:54:18,Racional,Pombo,Escritor,Conselheiro,Billie Eilish,Virgem
28/01/2020 12:54:36,Aventureiro,Tigre,Ator/Atriz,Extrovertido,Rihanna,Gêmeos
28/01/2020 13:10:50,Confiável,Tigre,Escritor,Leal,Beyoncé,Touro
28/01/2020 13:24:10,Reservado,Tigre,Designer,Compreensível,Britney Spears,Aquário
28/01/2020 13:31:26,Sociável,Lobo,Músico,Sociável,Beyoncé,Aquário
28/01/2020 13:32:32,Reservado,Tartaruga,Escritor,Conselheiro,Taylor Swift,Gêmeos
28/01/2020 13:36:10,Reservado,Cavalo,Escritor,Compreensível,Ariana Grande,Aquário
28/01/2020 13:48:08,Racional,Coruja,Músico,Leal,Billie Eilish,Capricórnio
28/01/2020 14:04:32,Racional,Coruja,Fotógrafo,Responsável,Beyoncé,Touro
28/01/2020 14:14:26,Apaixonado,Cavalo,Diretor de cinema,Otimista,Beyoncé,Touro
28/01/2020 14:14:50,Apaixonado,Lobo,Designer,Extrovertido,Billie Eilish,Câncer
28/01/2020 14:25:51,Aventureiro,Tigre,Ator/Atriz,Leal,Madonna,Libra
